Date,Close,High,Low,Open,Volume
2004-08-19,2.484365701675415,2.576470064810986,2.3759192785245054,2.4759466409530924,897427216
2004-08-20,2.681698799133301,2.7007633916405718,2.4883272616158054,2.5009541945382723,458857488
2004-08-23,2.708686351776123,2.809704894801386,2.700020800407022,2.742111603240293,366857939
2004-08-24,2.5965256690979004,2.7631563190761623,2.564338086520178,2.7542433305673386,306396159
2004-08-25,2.6245036125183105,2.6740232462171876,2.572013535527749,2.5987536874066035,184645512
2004-08-26,2.6717944145202637,2.672784641290399,2.5913258094246707,2.5985060200520667,142572401
2004-08-27,2.6282174587249756,2.6893737952512593,2.6168281922535006,2.676498477654464,124826132
2004-08-30,2.5257134437561035,2.611876437006001,2.5257134437561035,2.6066762064001945,104429967
2004-08-31,2.5346269607543945,2.5678045353841132,2.529427677588803,2.532894182378881,98825037
2004-09-01,2.4821367263793945,2.5494823351983573,2.467776068748134,2.542797238250835,183633734
2004-09-02,2.513333559036255,2.5346269903908083,2.4497016512068672,2.455891872262924,303810504
2004-09-03,2.476194143295288,2.5190286814604987,2.4591107163056503,2.499468976426108,103538639
2004-09-07,2.5150668621063232,2.52546613881785,2.466290967004059,2.5009538796539093,117506800
2004-09-08,2.5328941345214844,2.5509687356975568,2.4883270565845637,2.494268654214846,100186120
2004-09-09,2.533141851425171,2.543045068254707,2.5007068254262528,2.538588573279459,81620792
2004-09-10,2.607915163040161,2.6383692589933894,2.508134288267114,2.515562174355649,174804764
2004-09-13,2.661642551422119,2.6841736448736984,2.635892628758999,2.6401016846435255,157628624
2004-09-14,2.7604336738586426,2.773060605649064,2.6440633054468607,2.660405128161583,217608605
2004-09-15,2.7730605602264404,2.8282743522099554,2.728493483342906,2.7374074201410687,215279909
2004-09-16,2.821836471557617,2.8671461002413072,2.7643950245980706,2.781478450653621,186207345
2004-09-17,2.9089903831481934,2.9089903831481934,2.811437406306183,2.8329782746106806,190350817
2004-09-20,2.9552903175354004,3.010751548991273,2.8911635353005254,2.8956200297838026,213585582
2004-09-21,2.917656183242798,2.9815355310381904,2.909485745369264,2.9664323203210183,145262446
2004-09-22,2.931025505065918,2.962965651213322,2.892153534498064,2.9067618680016323,152344894
2004-09-23,2.9914391040802,3.036253613959369,2.8973524054093884,2.942415538490343,171524515
2004-09-24,2.9669270515441895,3.0726495129455382,2.9651942733235925,2.9944095161276016,183336625
2004-09-27,2.9280550479888916,2.992924376452029,2.916665782007037,2.960241681528946,141994242
2004-09-28,3.140986680984497,3.1543561651406664,2.976336467289472,3.0033240588512893,340190355
2004-09-29,3.245471477508545,3.3430235065748737,3.125388116324016,3.1370250581603543,613229953
2004-09-30,3.208827018737793,3.275677749510064,3.193971248119568,3.2162549040469055,276468402
2004-10-01,3.2826108932495117,3.3237114682653224,3.1914953317983623,3.2385386897540127,303934969
2004-10-04,3.3440136909484863,3.3888284455922393,3.3185114400987694,3.348718808828306,261693228
2004-10-05,3.4259674549102783,3.429928835930762,3.2741925710039115,3.3341105327740657,300887589
2004-10-06,3.394028425216675,3.4279487887980733,3.367288509482941,3.4056653676801183,268900140
2004-10-07,3.437851905822754,3.463354392837737,3.3809053341591366,3.390066946370586,283643194
